AAPL,AMZN,AVGO,CSCO,FB,HD,MSFT,MU,NVDA,WMT
39.884998,1416.780029,237.380005,40.34,180.179993,191.289993,89.610001,42.009998,228.800003,102.849998
40.7575,1442.839966,240.380005,40.169998,185.309998,191.039993,91.330002,43.880001,225.580002,100.900002
39.122501,1390,228.100006,38.779999,181.259995,183.110001,88,39.400002,213.699997,100.089996
40.125,1429.949951,235.479996,40.93,190.279999,193.970001,91.779999,40.82,233.520004,104.480003
41.945,1390,238.789993,41.700001,193.089996,199.899994,94.260002,42.490002,240.5,105.519997
41.857498,1450.890015,248.029999,41.540001,186.889999,200.899994,95.010002,43.720001,245.800003,106.599998
41.7425,1437.819946,240.979996,42.25,187.119995,201.809998,92.739998,41.669998,242.720001,107.730003
41.990002,1417.680054,245.470001,42.849998,185.979996,204.919998,93.919998,43.290001,246.850006,109.550003
42.877499,1402.050049,250.789993,42.560001,190,207.229996,94.059998,43.669998,243.330002,108.389999
42.7775,1377.949951,247.289993,41.900002,187.479996,205.369995,92.330002,43.009998,236.350006,106.599998
43.555,1357.51001,256.859985,42.169998,186.550003,206.220001,91.82,43.080002,235.800003,105.790001
44.259998,1362.540039,262.899994,42.099998,189.350006,204.899994,91.900002,43.950001,238.910004,105.900002
44.25,1327.310059,262.109985,41.66,185.369995,204.460007,91.610001,42.880001,233.690002,105.449997
44.615002,1294.579956,266.390015,41.290001,181.289993,201.330002,90,42.75,230.110001,104.589996
44.814999,1293.319946,269.799988,41.299999,179.800003,198.330002,90.099998,43.990002,224.440002,104.300003
