Date,Open,High,Low,Close,Adj Close,Volume
07-02-2018,238.759995,243.100006,237,237.380005,208.824524,4047500
06-02-2018,225.619995,240.399994,224.899994,240.380005,211.463638,7774400
05-02-2018,234.679993,244,227.600006,228.100006,200.660858,7077600
02-02-2018,236.770004,237.960007,234.089996,235.479996,207.153076,5835200
01-02-2018,241.720001,245.899994,238.100006,238.789993,210.064896,6685100
31-01-2018,250,253.139999,244.860001,248.029999,218.19339,8048200
30-01-2018,241.25,245.029999,237.009995,240.979996,211.991455,4600200
29-01-2018,248.279999,249.490005,243.490005,245.470001,215.941315,5040100
26-01-2018,249.419998,250.949997,245.240005,250.789993,220.621353,4901400
25-01-2018,257.73999,257.839996,247,247.289993,217.542389,5952000
24-01-2018,260.970001,263.269989,256,256.859985,225.961166,4540500
23-01-2018,261.73999,264.410004,258.109985,262.899994,231.274597,3539800
22-01-2018,265.649994,266.769989,260.619995,262.109985,230.57962,2723000
19-01-2018,269.149994,269.440002,266.070007,266.390015,234.344803,2996300
18-01-2018,265.459991,270.059998,264.480011,269.799988,237.344574,3031900
