Date,Open,High,Low,Close,Adj Close,Volume
07-02-2018,229.580002,234.970001,226.699997,228.800003,226.901321,20073300
06-02-2018,204.399994,225.699997,204,225.580002,223.708069,27870000
05-02-2018,227,233.229996,205,213.699997,211.926636,29130100
02-02-2018,237,237.970001,231.169998,233.520004,231.582169,17961600
01-02-2018,238.520004,246.899994,238.059998,240.5,238.504257,12980600
31-01-2018,245.770004,249.270004,244.449997,245.800003,243.760269,11964400
30-01-2018,241.110001,246.419998,238.410004,242.720001,240.705811,14270800
29-01-2018,242.740005,248.110001,240.610001,246.850006,244.801559,11377900
26-01-2018,238.119995,243.339996,237.600006,243.330002,241.310776,12908900
25-01-2018,238,239.75,235.75,236.350006,234.388672,10247100
24-01-2018,239.039993,240.490005,233.550003,235.800003,233.843262,14499300
23-01-2018,235.850006,239.830002,235.100006,238.910004,236.927444,11880700
22-01-2018,230.429993,233.759995,228.100006,233.690002,231.750763,13773600
19-01-2018,228.089996,231.089996,227,230.110001,228.200455,15234500
18-01-2018,223.940002,226.639999,222.679993,224.440002,222.57753,10215800
