company_name,ticker,Quarter end,Shares,Shares split adjusted,Split factor,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Non-controlling interest,Preferred equity,Goodwill & intangibles,Long-term debt,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Dividend per share,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Capital expenditures,Price,Price high,Price low,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Dividend payout ratio,Long-term debt to equity ratio,Equity to assets ratio,Net margin,Asset turnover,Free cash flow per share,Current ratio,mktcap_revenue_value,mktcap_free_cash_flow_value,mktcap_cash_value,cash_oper_gt_earnings_value,entvalue_earnings_value,marketcap_bookvalue_value,quarter_return,two_quarter_return,one_year_return,two_year_return,three_year_return,four_year_return,five_year_return,seven_year_return,ten_year_return,twelve_year_return,fifteen_year_return,ticker,rrank,rrank1,rrank2,rrank3,rrank4,rrank5,rrank6,rrank7,rrank8,rrank9,rrank10,rrank11,rrank12
AMERICAN AIRLINES GROUP INC.,AAL,43100,473138683,473138683,1,51396000000,9146000000,47470000000,14964000000,3926000000,0,0,6294000000,22511000000,10600000000,258000000,258000000,0.54,0.54,0.1,437000000,-557000000,75000000,-45000000,295000000,1408000000,49.51,53.74,45.27,0.5102,0.0366,8.3,6,12.63,538.63,0.1006,5.7338,0.0764,0.0455,0.8,-2.05,0.6112,0,0,0,1.693798449,0,0,2.306900103,8.428540634,15.82336707,23.67486985,30.3940647,112.9832097,0,-47.67040359,-79.36098166,-75.11808234,-19.39162389,AAL,317,300,315,292,255,254,198,252,214,308,317,230,226
"ADVANCE AUTO PARTS, INC.",AAP,43099,73978120,73978120,1,8482301000,5426892000,5067105000,3480097000,3415196000,0,0,1591967000,1044327000,2036986000,184500000,184500000,2.5,2.49,0.06,199800000,-23819000,7027000,183635000,546937000,35045000,93.3,107.79,78.81,0.1486,0.0562,46.16,2.13,19.52,2.88,0.0373,0.3058,0.4026,0.0507,1.11,2.23,1.5594,0,0,0,1.082926829,0,0,-5.515636069,-24.50167437,-39.20556553,-44.36383606,-33.62521295,2.785870357,35.42396872,60.78638498,189.3993911,167.6258097,0,AAP,256,218,235,247,205,256,308,258,269,214,338,320,285
"ADVANCE AUTO PARTS, INC.",AAP,43015,73898043,73898043,1,8468224000,5367952000,5237437000,3537409000,3230787000,0,0,1602928000,1044008000,2182233000,95996000,95996000,1.3,1.3,0.06,133656000,-33787000,4945000,106072000,363302000,33787000,98.81,115.4,82.21,0.1149,0.042,43.72,2.33,19.72,2.82,0.0502,0.3231,0.3815,0.0375,1.12,1.35,1.5175,0,0,0,1.392308012,0,0,-20.8579174,-37.16786299,-36.81529464,-41.30434783,-20.52256074,28.04260254,50.08173419,93.57399103,216.6523112,167.8856539,629.8731436,AAP,256,218,235,247,205,256,308,258,269,214,338,320,285
Apple Inc.,AAPL,43099,5074013000,5074013000,1,4.06794E+11,1.4381E+11,2.66595E+11,1.15788E+11,1.40199E+11,0,0,8038000000,1.03922E+11,88293000000,20065000000,20065000000,3.92,3.89,0.63,28293000000,-13590000000,-7501000000,7202000000,27491000000,2964000000,164.83,177.2,152.46,0.3737,0.1383,27.63,6.31,17.94,11.05,0.2505,0.7412,0.3446,0.2112,0.65,4.99,1.242,0,0,0,1.410067281,0,0,7.704320666,11.56645996,49.802478,46.37283111,57.55559691,127.354275,104.5370811,306.9855512,599.8811881,1934.790011,16731.59091,AAPL,499,497,501,503,500,499,503,505,503,504,501,491,473
ABBVIE INC.,ABBV,43100,1587972655,1587972655,1,70786000000,21223000000,65689000000,16641000000,5097000000,0,0,43344000000,30953000000,7739000000,52000000,52000000,0.02,0.04,0.71,2584000000,201000000,-1928000000,857000000,9303000000,182000000,92.17,99.1,85.24,0.9272,0.078,3.21,22,22.43,10.66,0.7927,6.0728,0.072,0.1872,0.41,1.51,1.2753,0,0,0,49.69230769,0,0,15.90568862,35.99941512,56.03663614,73.26895044,56.51359713,96.90211907,174.7424833,0,0,0,0,ABBV,488,481,470,461,465,462,448,429,495,482,454,485,456
AMERISOURCEBERGEN CORPORATION ,ABC,43100,219669091,219669091,1,36361510000,25296432000,33486928000,26740291000,2874582000,0,0,8901145000,4617259000,40466332000,861853000,861853000,3.95,3.9,0.38,10326000,-142323000,734629000,602632000,3037747000,73641000,83.17,94.44,71.9,0.3908,0.0278,13.09,8.78,51.02,8.7,0.3285,1.6062,0.0791,0.0063,4.42,-0.29,0.946,0.451483428,0,0,0,0,0,-2.735772827,-4.928942026,12.33040702,-12.04353575,3.95631937,34.32010902,116.5379976,184.8806975,327.5344598,408.4732424,548.4632446,ABC,226,213,175,140,165,137,139,94,135,87,209,124,194
ABBOTT LABORATORIES,ABT,43100,1746333892,1746333892,1,76250000000,20147000000,45152000000,8912000000,30897000000,201000000,0,45493000000,27210000000,7589000000,-828000000,-831000000,-0.47,-0.47,0.28,1640000000,-3152000000,-112000000,-1605000000,9407000000,345000000,55.48,57.77,53.2,0.0149,0.0066,17.69,3.02,43.34,61.85,3.9968,0.8807,0.4052,0.0171,0.38,0.74,2.2607,0,0,0,0,0,0,8.672773339,21.34929271,40.09364219,0,37.70109583,67.92901062,-8.904515174,28.89857687,22.04491726,68.4094796,76.35414137,ABT,345,393,385,398,375,467,465,480,488,501,489,469,427
ACCENTURE PLC,ACN,43159,672353051,672353051,1,23132979000,12284948000,12694553000,9367912000,9682687000,755739000,0,6015022000,25923000,10067832000,863703000,863703000,1.4,1.37,0,924057000,-345676000,-703204000,-86632000,3595079000,128671000,155.67,165.58,145.75,0.3999,0.1596,14.4,10.99,27.55,14.85,0.462,0.0027,0.4186,0.0918,1.74,1.18,1.3114,0,0,0,1.069878187,0,0,12.20741808,24.9900008,31.60813309,0,0,104.746994,133.6591585,241.112702,0,0,0,ACN,430,426,416,383,359,388,379,350,367,316,378,353,365
ACCENTURE PLC,ACN,43069,642550414,642550414,1,22974153000,12303841000,13080716000,9863026000,9102130000,791307000,0,5770683000,22226000,10054493000,1123660000,1123660000,1.82,1.79,1.33,1005838000,-258959000,-1179020000,-445149000,3681711000,131462000,138.85,148.6,129.1,0.4171,0.1641,14.17,9.92,25.52,14.85,0.4652,0.0024,0.3962,0.0943,1.74,1.36,1.2475,0,0,0,0,0,0,12.1350292,16.27164995,20.46796133,0,78.81715069,94.3011257,121.6749698,257.4451411,0,0,0,ACN,430,426,416,383,359,388,379,350,367,316,378,353,365
ADOBE SYSTEMS INCORPORATED,ADBE,43070,491578529,491578529,1,14535556000,7247813000,6075687000,3527457000,8459869000,0,0,6207219000,1881421000,2006595000,501549000,501549000,1.01,0.99,0,833220000,20366000,-319509000,531522000,2306072000,37684000,165.11,186.27,143.95,0.2116,0.1235,17.21,9.96,51.76,0.25,0,0.2224,0.582,0.232,0.53,1.62,2.0547,0,0,0,1.661293313,0,0,15.88108334,26.72453175,80.88920178,0,165.1864035,229.9642305,423.25106,494.3205041,297.2866472,475.4169339,1431.820066,ADBE,475,468,463,457,450,453,462,439,417,386,389,383,288
